,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Arable (%),Birthrate,Deathrate,Temp C° 1961-1990,Country Code,precipitation mm/y 1992,precipitation mm/y 2002,precipitation mm/y 2014,renewable freshwater m3/capita 1992,renewable freshwater m3/capita 2002,renewable freshwater m3/capita 2014,annual water withdraw % 2002
55,Djibouti,SUB-SAHARAN AFRICA,486530,23000,21.2,1300.0,67.9,0.04,39.53,19.31,28.0,DJI,220.0,220.0,220.0,487.762050161449,401.6376104168729,333.816997071312,6.26666666666667
56,Dominica,LATIN AMER. & CARIB,68910,754,91.4,5400.0,94.0,6.67,15.27,6.73,22.35,DMA,2083.0,2083.0,2083.0,2835.110002268089,2863.8114466543493,2813.5330941830202,8.3
57,Dominican Republic,LATIN AMER. & CARIB,9183984,48730,188.5,6000.0,84.7,22.65,23.22,5.73,24.55,DOM,1410.0,1410.0,1410.0,3172.09977617124,2693.41745964888,2311.8139200317,20.7021276595745
58,East Timor,ASIA,1062777,15007,70.8,500.0,58.6,4.71,26.99,6.24,,,,,,,,,
59,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.8,3300.0,92.5,5.85,22.29,4.23,21.85,ECU,2274.0,2274.0,2274.0,41283.5642422744,33659.312821999396,27733.4812452333,2.11731464737794
60,Egypt,NORTHERN AFRICA,78887007,1001450,78.8,4000.0,57.7,2.87,22.94,5.23,22.1,,,,,,,,
61,El Salvador,LATIN AMER. & CARIB,6822378,21040,324.3,4800.0,80.2,31.85,26.61,5.78,24.45,SLV,1784.0,1784.0,1784.0,2885.72154947185,2621.5436883694,2482.87246899507,8.803582853486882
62,Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,19.3,2700.0,85.7,4.63,35.59,15.06,24.55,GNQ,2156.0,2156.0,2156.0,58130.9556281944,39490.631607086405,23167.206640790697,0.0669230769230769
63,Eritrea,SUB-SAHARAN AFRICA,4786994,121320,39.5,700.0,58.6,4.95,34.33,9.6,25.5,ERI,,384.0,384.0,,1128.5508037297,,14.7642857142857
64,Estonia,BALTICS,1324333,45226,29.3,12300.0,99.8,16.04,10.04,13.25,5.1,EST,626.0,626.0,626.0,8290.44068486476,9214.485083553853,9668.74469873607,11.117230527144
65,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,700.0,42.7,10.71,37.98,14.86,22.2,ETH,,848.0,848.0,,1739.32653362159,1243.70180993172,4.55573770491803
66,Faroe Islands,WESTERN EUROPE,47246,1399,33.8,22000.0,,2.14,14.05,8.7,,FRO,,,,,,,
67,Fiji,OCEANIA,905949,18270,49.6,5800.0,93.7,10.95,22.55,5.65,24.4,FJI,2592.0,2592.0,2592.0,38349.4813081539,35019.631846154,32950.4312409329,0.286164623467601
68,Finland,WESTERN EUROPE,5231372,338145,15.5,27400.0,100.0,7.19,10.45,9.86,1.7,FIN,536.0,536.0,536.0,21221.7710777804,20574.5570028677,19591.6442186706,2.17570093457944
69,France,WESTERN EUROPE,60876136,547030,111.3,27600.0,99.0,33.53,11.99,9.14,10.7,FRA,867.0,867.0,867.0,3398.4004103092707,3235.970164160931,3015.858893994069,16.18
70,French Guiana,LATIN AMER. & CARIB,199509,91000,2.2,8300.0,83.0,0.14,20.46,4.88,,,,,,,,,
71,French Polynesia,OCEANIA,274578,4167,65.9,17500.0,98.0,0.82,16.68,4.69,,PYF,,,,,40165.159134360496,,
72,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.3,5500.0,63.2,1.26,36.16,12.25,25.05,GAB,1831.0,1831.0,1831.0,163578.13199757802,127298.059868899,87058.0741055314,0.0733536585365854
73,"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,145.3,1700.0,40.1,25.0,39.37,12.25,,GMB,836.0,836.0,836.0,2919.7790700503692,2136.35499383662,1482.18268197992,3.0166666666666697
74,Gaza Strip,NEAR EAST,1428757,360,3968.8,600.0,,28.95,39.45,3.8,,,,,,,,,
75,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,2500.0,99.0,11.44,10.41,9.23,5.8,GEO,1026.0,1026.0,1026.0,11927.7726479943,14610.979222147,15628.8060431025,
76,Germany,WESTERN EUROPE,82422299,357021,230.9,27600.0,99.0,33.85,8.25,10.62,8.5,DEU,700.0,700.0,700.0,1327.13840011953,1297.15059051568,1321.27311456179,36.551401869158894
77,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.6,2200.0,74.8,16.26,30.52,9.72,27.2,GHA,1187.0,1187.0,1187.0,1935.6896191329402,1496.56375625846,1112.96924326026,3.24092409240924
78,Gibraltar,WESTERN EUROPE,27928,7,3989.7,17500.0,,0.0,10.74,9.31,,GIB,,,,,,,
79,Greece,WESTERN EUROPE,10688058,131940,81.0,20000.0,97.5,21.1,9.68,10.24,15.4,GRC,652.0,652.0,652.0,5577.426654195029,5320.1140118778,5324.80727640423,15.9068965517241
80,Greenland,NORTHERN AMERICA,56361,2166086,0.0,20000.0,,0.0,15.93,7.84,,GRL,,,,,10652016.4638132,,
81,Grenada,LATIN AMER. & CARIB,89703,344,260.8,5000.0,98.0,5.88,22.08,6.88,26.65,GRD,2350.0,2350.0,2350.0,2058.35434570061,1929.86857594998,1836.5135626526605,
82,Guadeloupe,LATIN AMER. & CARIB,452776,1780,254.4,8000.0,90.0,11.24,15.05,6.09,,,,,,,,,
83,Guam,OCEANIA,171019,541,316.1,21000.0,99.0,9.09,18.79,4.48,,GUM,,,,,,,
